;
; Cargo systems
;
Cargo_AchillesShieldDisruptor,"Missile Launcher - Achilles","Achilles Lch."
Cargo_Decoys,"Decoy - ECM","ECM Decoy"
Cargo_DefenceShield,"LDA - Defense","Defense LDA"
Cargo_DeltaHeatSink,"Heat-Sink - Delta","Delta H-S"
Cargo_DisruptorMissile,"Disruptor Msl.","Disruptor Msl"
Cargo_DisruptorMissiles,"Disruptor Pack","Disruptor Pack"
Cargo_DockOnAutoTurret,"Docking Auto Turret","Auto Turret"
Cargo_EmergencyCoolingPod,"Coolant Pod","Coolant Pod"
Cargo_EngineManagementProgram,"Drive Manager","Drive Mgr"
Cargo_EnhancedAimPBC,"Imaging Module","Imaging Mod"
Cargo_Flare,"Decoy Launcher - Flare","Flare Lch."
Cargo_Flares,"Decoy - Flare","Flare"
Cargo_GammaHeatSink,"Heat-Sink - Gamma","Gamma H-S"
Cargo_GnatRocket,"Gnat Rkt","Gnat Rkt"
Cargo_GnatRockets,"Gnat Pack","Gnat Pack"
Cargo_HammerRocket,"Hammer Rkt","Hammer Rkt"
Cargo_HammerRockets,"Hammer Pack","Hammer Pack"
Cargo_HarrowerMissile,"Missile Launcher - Harrower","Harrower Lch."
Cargo_HarrowerMissiles,"Missile - Harrower","Harrower Msl."
Cargo_HeatSinkSupercooler,"Heat-Sink Supercooler","H-S Supercool"
Cargo_HeavyBeamCannon,"PBC - Heavy","Heavy PBC"
Cargo_HighPowerSensorDisruptor,"Signal Mask 2","Sig Mask 2"
Cargo_HighYieldFusionInjector,"High-Yield Injector","H-Y Injector"
Cargo_HullMissileHardPoint,"Hull Msl. Hard-Point","Hull Msl H-P"
Cargo_HyperspaceTracker,Capsule Space Tracker,C-S Tracker
Cargo_IFFBeacon,"IFF Beacon","IFF Beacon"
Cargo_ImprovedManoeuverThrusters,"Advanced Thrusters","Adv Thrusters"
Cargo_InstantShieldControl,"Instant Shield Control","Shield Control"
Cargo_InterceptorDrivers,"Interceptor Drive","Intercept Drive"
Cargo_InternalMissileMagazine,"Internal Magazine","Internal Mag"
Cargo_LDSClass1Drive,"LDS Class 1","LDS Class 1"
Cargo_LDSClass2Drive,"LDS Class 2","LDS Class 2"
Cargo_LDSIMine,"LDSi Mine","LDSi Mine"
Cargo_LDSIMines,"LDSi Mine Pack","LDSi Mine Pack"
Cargo_LDSi3000Missile,"LDSi 3000 Msl.","LDSi 3000 Msl"
Cargo_LDSi3000Missiles,"LDSi 3000 Pack","LDSi 3000 Pack"
Cargo_LDSiMissile,"Missile Launcher - LDSi","LDSi Lch."
Cargo_LDSiMissiles,"Missile - LDSi","LDSi Msl."
Cargo_LDSiShortMissile,"Missile Launcher - Short Range LDSi","S-R LDSi Lch."
Cargo_LDSiShortMissiles,"Missile - Short Range LDSi","S-R LDSi Msl."
Cargo_Level1AutorepairSystem,"Autorepair 1","Autorepair 1"
Cargo_Level2AutorepairSystem,"Autorepair 2","Autorepair 2"
Cargo_Level3Autorepairsystem,"Autorepair 3","Autorepair 3"
Cargo_Level4Autorepairsystem,"Autorepair 4","Autorepair 4"
Cargo_Level5Autorepairsystem,"Autorepair 5","Autorepair 5"
Cargo_LightDefenceShield,"LDA - Light","Light LDA"
Cargo_LightPBC,"PBC - Light","Light PBC"
Cargo_LongRangeActiveSensors,"Sensors - Active 5","Act Sensor 5"
Cargo_LongRangeCannonAmmo,"Sniper Cannon Ammo","Sniper Ammo"
Cargo_LongRangeCannonAmmoRound,"Sniper Cannon Round","Sniper Round"
Cargo_LongRangePassiveSensors,"Sensors - Passive 5","Pas Sensor 5"
Cargo_LowSignatureHullplates,"Low-Sig Hull Plates","Low-Sig Plates"
Cargo_ManoeuvreThrusters,"Basic Thrusters","Basic Thrusters"
Cargo_MarauderCommsScrambler,"Comms Scrambler","Scrambler"
Cargo_MatchVelocityAutopilot,"Pursuit Autopilot","Pursuit A-P"
Cargo_MeteorShield,"LDA - Meteor","Meteor LDA"
Cargo_MilitaryAggressorShields,"Navy Aggr Shield","Navy Aggr Shld"
Cargo_MilitaryGradeActiveSensors,"Sensors - Active 4","Act Sensor 4"
Cargo_MilitaryGradePassiveSensors,"Sensors - Passive 4","Pass Sensor 4"
Cargo_MilitaryJumpCapacitor,"Capsule Drive - Navy","Navy C-Drive"
Cargo_MilitaryShields,"LDA - Navy","Navy LDA"
Cargo_MilitaryTrackingProgram,"Navy Tracker","Navy Tracker"
Cargo_MinersShield,"LDA - Mining","Mining LDA"
Cargo_MiningCharge,"Mining Charge","Mining Charge"
Cargo_MiningCharges,"Mining Charge Pack","Charge Pack"
Cargo_MiningLasers,"Beam - Mining","Mining Beam"
Cargo_NeutronBeamCannon,"PBC - Neutron","Neutron PBC"
Cargo_OcclusionMonitoringSoftware,"Occlusion Monitor","Occ Monitor"
Cargo_OmegaHeatSink,"Heat-Sink - Omega","Omega H-S"
Cargo_ParticleBeamCannon,"PBC","PBC"
Cargo_ParticleScreenShieldUpgrade,"Particle Screen","Ptcle Screen"
Cargo_PassiveSensorPackage,"Sensors - Passive 2","Pass Sensor 2"
Cargo_PointDefenceTurret,"Point Defence Turret","Point Defence"
Cargo_PowerPlantAutorepair,"Reactor Autorepair","Reactor Repair"
Cargo_ProximityMine,"Proximity Mine","Prox Mine"
Cargo_ProximityMines,"Proximity Mine Pack","Prox Mine Pack"
Cargo_PulsarDisruptor,"Pulsar Msl.","Pulsar Msl"
Cargo_PulsarDisruptors,"Pulsar Pack","Pulsar Pack"
Cargo_PulseAcceleratedPBC,"PBC - Pulse-Acc","Pulse-Acc PBC"
Cargo_PursuitDrivers,"Pursuit Drive","Pursuit Drive"
Cargo_QuadpackMissileLauncher,"Quadpack Launcher","Quad Launcher"
Cargo_QuadLightPBC,"PBC - Quad Light","Quad Light PBC"
Cargo_RapidFirePBC,"PBC - Rapid Fire","Rapid Fire PBC"
Cargo_ReactorHardening,"Reactor Hardening","Reactor Harden"
Cargo_RemoteFighter,"REM Fighter","REM Fighter"
Cargo_RemoteMissile,"REM Msl.","REM Msl"
Cargo_RemoteMissiles,"REM Msl. Pack","REM Pack"
Cargo_RemoteProbe,"REM Probe","REM Probe"
Cargo_RemoteProbes,"REM Probe Pack","REM Probe Pack"
Cargo_RepairControlProgram,"Repair Expert System","Repair Expert"
Cargo_SNRVReloadPod,"SnRV Reload Pod","Reload Pod"
Cargo_SealedHeatSink,"Sealed Heat-Sink","Sealed H-S"
Cargo_SecondaryRing,"Secondary Ring","Second Ring"
Cargo_SeekerMine,"Seeker Mine","Seeker Mine"
Cargo_SeekerMines,"Seeker Mine Pack","Seek Mine Pack"
Cargo_SeekerMissile,"Missile Launcher - Seeker","Seeker Lch."
Cargo_SeekerMissiles,"Missile - Seeker","Seeker Msl."
Cargo_SelfDefenceSoftware,"Self-Defence Module","Self-Defence"
Cargo_SensorDisruptor,"Signal Mask 1","Sig Mask 1"
Cargo_ShieldBooster,"Shield Booster","Shield Booster"
Cargo_ShieldSynchroniser,"Shield Synchroniser","Shield Sync"
Cargo_ShipCPUGradeI,"CPU Grade 1","CPU Grade 1"
Cargo_ShipCPUGradeII,"CPU Grade 2","CPU Grade 2"
Cargo_ShipCPUGradeIII,"CPU Grade 3","CPU Grade 3"
Cargo_ShipCPUGradeIV,"CPU Grade 4","CPU Grade 4"
Cargo_ShipCPUGradeV,"CPU Grade 5","CPU Grade 5"
Cargo_ShipMemoryModule,"Memory Module","Memory Module"
Cargo_ShipsDrive,"Basic Drive","Basic Drive"
Cargo_ShortRangeActiveSensors,"Sensors - Active 1","Act Sensor 1"
Cargo_ShortRangePassiveSensors,"Sensors - Passive 1","Pass Sensor 1"
Cargo_SmartDecoy,"Decoy - Smart AI","AI Decoy"
Cargo_SmartDecoyCountermeasure,"Decoy Launcher - Smart AI","AI Decoy Lch."
Cargo_StealthProgram,"Stealth Module","Stealth Mod"
Cargo_TargetedPBC,"Recoil-Damped PBC","R-D PBC"
Cargo_Thrusterpods,"Thruster Boost Pods","Boost Pods"
Cargo_TrackingComputer,"Tracking System","Tracking Sys"
Cargo_TripackMissileLauncher,"Tripack Launcher","Tri Launcher"
Cargo_TurretFighter,"Turret Fighter","T-Fighter"
Cargo_TwinPackMissileLauncher,"Twinpack Launcher","Twin Launcher"
Cargo_UCPScanner,"UCP Scanner","UCP Scanner"
Cargo_WeaponLinkHardware,"Weapon Link","Weapon Link"
Cargo_WideanglePBC,"Wide Arc PBC","Wide Arc PBC"
;
; Extra (built in) systems
;
system_comsec_powerplant,"Micro Fuel Cell","Micro Cell"
system_advanced_patcom_powerplant,"Injected Fusion Ring","Inj Fusion Ring"
system_tug_powerplant,"Heavy Duty Fusion Ring","H-D Fusion Ring"
system_heavy_corvette_powerplant,"High Yield Fusion Ring","H-Y Fusion Ring"
system_storm_petrel_powerplant,"Boosted Fuel Cell","Boosted Cell"


;
; Names shortened, 19th October
;
Cargo_CommunicationsLaser,"Beam - Comms","Comms Beam"
Cargo_LongRangeCannon,"Sniper Cannon","Sniper Cannon"



Cargo_SeekerMineBlueprints,"External PBC","Ex. PBC"
Cargo_AchillesBlueprints,"External Missile Launcher - Harrower","Ex. Harrower"
Cargo_AntimatterMineBlueprints,"External PBC - Quad Lite","Ex. Quad Lite PBC"
Cargo_AntimatterMissileBlueprints,"External PBC - Neutron","Ex. Neutron PBC"
Cargo_BlizzardMissileBlueprints,"External PBC - Light","Ex. Light PBC"
Cargo_DeadshotBlueprints,"External Cutting Beam","Ex. Cutting Beam"
Cargo_DeathblowBlueprints,"External Assault Cannon","Ex. Assault Cannon"
Cargo_DecoyBlueprints,"External Missile Launcher - Achillies","Ex. Achillies"
Cargo_DisruptorBlueprints,"External Missile Launcher - Seeker","Ex. Seeker"
Cargo_LDSi3000Blueprints,"External Missile Launcher - Deadshot","Ex. Deadshot"
Cargo_LDSiMineBlueprints,"External Missile Launcher - LDSi","Ex. LDSi"
Cargo_LDSiMissileBlueprints,"External Missile Launcher - Short LDSi","Ex. LDSi Short"
Cargo_SniperCannonAmmoBlueprints,"Turret - Dual Neutron","Dual Neutron"
Cargo_MiningChargeBlueprints,"Turret - Quad Lite PBC","Quad PBC Turret"
Cargo_ProximityMineBlueprints,"Turret - PBC","PBC Turret"
Cargo_PulsarBlueprints,"Turret - Cutting Beam","Beam Turret"
Cargo_RemoteMissileBlueprints,"Turret - Assault Cannon","Assault Turret"
Cargo_RemoteProbeBlueprints,"Turret - Point Defence","Point Defence Turret"
Cargo_SmartDecoyBlueprints,"Turret - Neutron","Neutron Turret"

; Built in systems added for Unstable Space

Neutron PBC Capitol,"Neutron PBC Capitol","Capitol Neutron"
Destroyer Powerplant,"Destroyer Class Fusion Ring","D-C Fusion Ring"
Dreadnaught Corvette Powerplant,"High Yield Fusion Ring","H-Y Fusion Ring"
Tanker Powerplant,"Heavy Duty Fusion Plant","H-D Fusion Plant"
Large Tanker Powerplant,"High Yield Fusion Plant","H-Y Fusion Plant"
Patcom Powerplant,"Fusion Ring","Fusion Ring"
Fighter Powerplant,"Boosted Fuel Cell","Boosted Cell"
Truck Powerplant,"Fusion Ring","Fusion Ring"
SNRV Powerplant,"Large Fusion Plant","L Fusion Plant"
Freighter Powerplant,"Heavy Duty Fusion Plant","H-D Fusion Plant"
Cargo Container Powerplant,"Heavy Duty Fusion Plant","H-D Fusion Plant"
thrusters_class_1,"Manoeuvre Thrusters Class 1","Thruster Cls. 1"
thrusters_class_2,"Manoeuvre Thrusters Class 2","Thruster Cls. 2"
thrusters_class_3,"Manoeuvre Thrusters Class 3","Thruster Cls. 3"
thrusters_class_4,"Manoeuvre Thrusters Class 4","Thruster Cls. 4"
life_support_class_1,"Life Support Class 1","Life Support"
life_support_class_2,"Life Support Class 2","Life Support"
life_support_class_3,"Life Support Class 3","Life Support"
life_support_class_4,"Life Support Class 4","Life Support"
ships_drive_class_1,"Small Drive","Small Drive"
ships_drive_class_2,"Basic Drive","Basic Drive"
ships_drive_class_3,"Heavy Drive","Heavy Drive"
ships_drive_class_4,"Capitol Drives","Capitol Drives"
accumulators_class_1,"Accumulators Class 1","Accumulators"
accumulators_class_2,"Accumulators Class 2","Accumulators"
accumulators_class_3,"Accumulators Class 3","Accumulators"
accumulators_class_4,"Accumulators Class 4","Accumulators"

