Entity 0, type 0, body type 0 hab_type 0 radius          0 name Eureka System
Entity 64, type 0, body type 3 hab_type 10 radius    6536986 name Holst
Entity 65, type 1, body type 8 hab_type 122 radius    6536986 name Holst Orbital Transfer Station
Entity 66, type 0, body type 3 hab_type 122 radius   11905207 name Bach
Entity 67, type 0, body type 3 hab_type 122 radius    4143375 name Wagner
Entity 68, type 0, body type 3 hab_type 122 radius   11127913 name Schubert
Entity 69, type 1, body type 1 hab_type 17 radius   11127913 name Schubert NOMEX Exotic Metals Processing Plant
Entity 70, type 0, body type 4 hab_type 17 radius  124342960 name Torva
Entity 71, type 1, body type 1 hab_type 19 radius  124342960 name Torva Independent Fusionable Gases Processing Plant
Entity 72, type 0, body type 3 hab_type 19 radius    9319325 name Formosa
Entity 73, type 1, body type 1 hab_type 18 radius    9319325 name Formosa MAAS Radioactives Processing Plant
Entity 74, type 0, body type 3 hab_type 18 radius   18294486 name La Pampa
Entity 75, type 1, body type 15 hab_type 70 radius   18294486 name La Pampa  Defence Station
Entity 76, type 0, body type 3 hab_type 70 radius    8228511 name Mendoza
Entity 77, type 2, body type 70 hab_type 0 radius    8228511 name La Pampa L-Point
Entity 78, type 1, body type 1 hab_type 19 radius    8228511 name Mendoza  Fusionable Gases Processing Plant
Entity 79, type 0, body type 3 hab_type 19 radius   14986368 name Santiago
Entity 80, type 1, body type 10 hab_type 54 radius   14986368 name Santiago Security Station
Entity 81, type 0, body type 3 hab_type 54 radius    5652998 name Chaco
