Entity 0, type 0, body type 0 hab_type 0 radius          0 name Mwari System Centre
Entity 90, type 0, body type 3 hab_type 71 radius    3552786 name Fronn
Entity 91, type 0, body type 4 hab_type 71 radius   66824712 name Epicurus
Entity 92, type 0, body type 2 hab_type 71 radius   66824712 name Hogin's Claim
Entity 93, type 0, body type 4 hab_type 71 radius  212975040 name Diogenes
Entity 94, type 0, body type 3 hab_type 71 radius   12311783 name Micky Finn
Entity 95, type 0, body type 3 hab_type 71 radius    3107997 name Yellow Man
Entity 96, type 0, body type 3 hab_type 71 radius    3956528 name Mooche
Entity 97, type 0, body type 3 hab_type 71 radius    5732662 name Onion
Entity 98, type 0, body type 3 hab_type 71 radius    9815249 name Scenic
Entity 99, type 0, body type 3 hab_type 71 radius    3160533 name Scooter
Entity 100, type 1, body type 2 hab_type 48 radius    3160533 name Scooter Independent Agricultural Settlement
Entity 101, type 0, body type 3 hab_type 48 radius    4302663 name Toad Skin
Entity 102, type 1, body type 8 hab_type 36 radius    4302663 name Toad Skin M.C.A. Traffic Control Station
Entity 103, type 6, body type 255 hab_type 117 radius    4302663 name Traffic Control Gunstar Array
Entity 104, type 0, body type 2 hab_type 117 radius    4302663 name Christos
Entity 105, type 0, body type 4 hab_type 117 radius  134373424 name Heraclitus
Entity 106, type 2, body type 65 hab_type 0 radius  134373424 name Toad Skin L-Point
Entity 107, type 1, body type 1 hab_type 17 radius  134373424 name Heraclitus Independent Exotic Metals Processing Plant
Entity 108, type 0, body type 3 hab_type 17 radius    4525912 name Toby
Entity 109, type 1, body type 23 hab_type 104 radius    4525912 name Saddleworth
Entity 110, type 1, body type 23 hab_type 1 radius    4525912 name Black Meg
Entity 111, type 0, body type 4 hab_type 1 radius   71722744 name Zeno
Entity 112, type 1, body type 16 hab_type 60 radius   71722744 name Zeno Independent Mercenary Base
Entity 113, type 1, body type 3 hab_type 51 radius   71722744 name Zeno Independent Medicare Orbital
Entity 114, type 1, body type 0 hab_type 10 radius   71722744 name Zeno Independent Fusionable Gases Mine
Entity 115, type 0, body type 4 hab_type 10 radius  231177440 name Plato
Entity 116, type 1, body type 13 hab_type 101 radius  231177440 name Plato Exile Hideout
