Entity 0, type 0, body type 0 hab_type 0 radius          0 name Coyote System
Entity 59, type 0, body type 3 hab_type 54 radius    9295904 name Oneida
Entity 60, type 1, body type 18 hab_type 90 radius    9295904 name Oneida Government STL Transceiver
Entity 61, type 0, body type 3 hab_type 90 radius    3560501 name Onondaga
Entity 62, type 2, body type 51 hab_type 0 radius    3560501 name Mohawk L-Point
Entity 63, type 1, body type 16 hab_type 60 radius    3560501 name Onondaga Independent Mercenary Base
Entity 64, type 0, body type 3 hab_type 60 radius    5326561 name Seneca
Entity 65, type 0, body type 3 hab_type 60 radius    5374182 name Tuscarora
Entity 66, type 0, body type 3 hab_type 60 radius    5544335 name Mingo
Entity 67, type 0, body type 3 hab_type 60 radius    4666742 name Caughnawaga
Entity 68, type 0, body type 3 hab_type 60 radius   11481840 name Sattawingo
Entity 69, type 1, body type 4 hab_type 62 radius   11481840 name Sattawingo Independent Warehousing
Entity 70, type 1, body type 11 hab_type 66 radius   11481840 name Sattawingo Independent Leisure Station
Entity 71, type 1, body type 3 hab_type 51 radius   11481840 name Sattawingo Independent Medicare Orbital
Entity 72, type 1, body type 10 hab_type 54 radius   11481840 name Sattawingo Independent Defense Station
Entity 73, type 0, body type 4 hab_type 54 radius  196564848 name Comanche
Entity 74, type 1, body type 8 hab_type 36 radius  196564848 name Comanche Independent Waystation
Entity 75, type 1, body type 0 hab_type 10 radius  196564848 name Comanche Independent Fusionable Gases Mine
Entity 76, type 0, body type 3 hab_type 10 radius   14324691 name Hois
Entity 77, type 0, body type 3 hab_type 10 radius   11659122 name Nokoni
Entity 78, type 0, body type 3 hab_type 10 radius    4023224 name Penateka
Entity 79, type 0, body type 3 hab_type 10 radius    5063623 name Jupe
Entity 80, type 0, body type 2 hab_type 10 radius    3134995 name Winnebago
Entity 81, type 1, body type 8 hab_type 36 radius    3134995 name Winnebago Independent Waystation
Entity 82, type 1, body type 2 hab_type 48 radius    3134995 name Winnebago Independent Agricultural Settlement
Entity 83, type 1, body type 8 hab_type 122 radius    3134995 name Winnebago Orbital Transfer Station
Entity 84, type 0, body type 3 hab_type 122 radius     677598 name Yellow Thunder
Entity 85, type 1, body type 8 hab_type 122 radius     677598 name Yellow Thunder Orbital transfer Station
Entity 86, type 0, body type 3 hab_type 122 radius    1807197 name Wuckian
Entity 87, type 2, body type 80 hab_type 0 radius    1807197 name Yellow Thunder L-Point
Entity 88, type 1, body type 8 hab_type 122 radius    1807197 name Wuckian Orbital Transfer Station
Entity 89, type 0, body type 4 hab_type 122 radius  161396336 name Delaware
Entity 90, type 1, body type 1 hab_type 17 radius  161396336 name Delaware Independent Exotic Metals Processing Plant
Entity 91, type 1, body type 11 hab_type 105 radius  161396336 name Delaware Underworld Orbital Vice Den
Entity 92, type 1, body type 1 hab_type 19 radius  161396336 name Delaware Independent Fusionable Gases Processing Plant
Entity 93, type 0, body type 2 hab_type 19 radius    5944977 name Huron
Entity 94, type 0, body type 3 hab_type 19 radius    4060995 name Wendat
